iter	Passed	Remaining
0	629	313879
1	1088	270922
2	1251	207318
3	1400	173661
4	1856	183783
5	2331	191935
6	2770	195126
7	3177	195415
8	3411	186128
9	3855	188907
10	4288	190631
11	4741	192831
12	4884	182964
13	5312	184411
14	5729	185265
15	6168	186608
16	6615	187965
17	7057	188988
18	7467	189047
19	7908	189800
20	8327	189937
21	8750	190115
22	9189	190592
23	9440	187241
24	9896	188037
25	10307	187909
26	10705	187550
27	11149	187954
28	11607	188519
29	12044	188692
30	12456	188455
31	12889	188512
32	13292	188112
33	13752	188485
34	14210	188793
35	14671	189096
36	15185	190024
37	15624	189956
38	16033	189527
39	16478	189501
40	16945	189701
41	17409	189841
42	17862	189841
43	18030	186861
44	18516	187224
45	19005	187578
46	19482	187780
47	19935	187724
48	20343	187246
49	20754	186792
50	21198	186631
51	21621	186277
52	22058	186039
53	22474	185625
54	22898	185265
55	23337	185036
56	23748	184570
57	24173	184218
58	24624	184061
59	25073	183871
60	25477	183357
61	25889	182897
62	26316	182544
63	26767	182350
64	27191	181973
65	27603	181514
66	28047	181264
67	28452	180756
68	28904	180550
69	29319	180107
70	29757	179802
71	30177	179387
72	30608	179039
73	31039	178687
74	31474	178352
75	31904	177994
76	32372	177836
77	32824	177587
78	33290	177409
79	33798	177442
80	34261	177228
81	34718	176979
82	35167	176682
83	35576	176189
84	36040	175961
85	36498	175699
86	36937	175345
87	37382	175019
88	37869	174879
89	38263	174313
90	38672	173814
91	39096	173385
92	39550	173085
93	39970	172640
94	40388	172182
95	40796	171684
96	41259	171416
97	41723	171150
98	42099	170523
99	42543	170173
100	42957	169701
101	43397	169336
102	43803	168835
103	44248	168484
104	44681	168086
105	45093	167612
106	45541	167267
107	46010	167000
108	46417	166507
109	46864	166156
110	47276	165681
111	47719	165312
112	48179	165003
113	48613	164605
114	49031	164148
115	49454	163710
116	49898	163342
117	50354	163013
118	50845	162790
119	51363	162652
120	51815	162298
121	52247	161880
122	52684	161479
123	53151	161170
124	53580	160742
125	54049	160431
126	54456	159939
127	54890	159525
128	55301	159046
129	55784	158771
130	56292	158564
131	56698	158068
132	57132	157651
133	57567	157235
134	58104	157098
135	58612	156875
136	59078	156537
137	59554	156221
138	59983	155785
139	60469	155494
140	60935	155146
141	61444	154910
142	61991	154761
143	62488	154484
144	62895	153986
145	63359	153624
146	63786	153173
147	64223	152747
148	64748	152529
149	65269	152296
150	65781	152037
151	66264	151711
152	66794	151487
153	67319	151250
154	67911	151158
155	68364	150752
156	68822	150356
157	69287	149976
158	69758	149608
159	70257	149298
160	70806	149088
161	71356	148879
162	71881	148614
163	71944	147399
164	71994	146170
165	72437	145747
166	72897	145359
167	73358	144969
168	73850	144642
169	74293	144215
170	74759	143836
171	74923	142878
172	75373	142468
173	75846	142102
174	76386	141861
175	76972	141699
176	77382	141213
177	77869	140865
178	78309	140431
179	78986	140420
180	79018	139264
181	79486	138882
182	80004	138587
183	80643	138496
184	81160	138192
185	81816	138119
186	81845	136992
187	82304	136590
188	82829	136296
189	83376	136035
190	83813	135593
191	84252	135154
192	84788	134871
193	85389	134686
194	85951	134437
195	85981	133359
196	86517	133070
197	87053	132779
198	87571	132456
199	87997	131996
200	88086	131033
201	88646	130774
202	88675	129737
203	89157	129366
204	89741	129140
205	90289	128859
206	90822	128555
207	91035	127799
208	91572	127499
209	92042	127106
210	92519	126720
211	92951	126273
212	93459	125928
213	93554	125030
214	94125	124771
215	94676	124481
216	94726	123537
217	95199	123147
218	95764	122875
219	96200	122436
220	96725	122111
221	97342	121897
222	97884	121587
223	98510	121379
224	99000	121000
225	99490	120621
226	99982	120242
227	100465	119853
228	101044	119576
229	101536	119195
230	102116	118914
231	102789	118739
232	103409	118499
233	103537	117696
234	104085	117373
235	104561	116967
236	105144	116679
237	105612	116262
238	106162	115934
239	106706	115598
240	107137	115139
241	107165	114250
242	107788	113998
243	107877	113183
244	108422	112848
245	108851	112391
246	109276	111931
247	109728	111498
248	110295	111181
249	110968	110968
250	111507	110619
251	112105	110325
252	112565	109896
253	113104	109541
254	113678	109220
255	114206	108853
256	114803	108549
257	115279	108130
258	115309	107295
259	115838	106927
260	115882	106115
261	116396	105734
262	117050	105479
263	117609	105136
264	118199	104818
265	118776	104487
266	119006	103851
267	119038	103048
268	119192	102355
269	119647	101922
270	120155	101533
271	120184	100742
272	120224	99967
273	120867	99693
274	120896	98915
275	121368	98501
276	121856	98100
277	121894	97340
278	122396	96952
279	122887	96554
280	123388	96164
281	123938	95810
282	124394	95383
283	124935	95021
284	125483	94663
285	126177	94412
286	126835	94132
287	126924	93430
288	127396	93012
289	127901	92618
290	128551	92327
291	129057	91931
292	129653	91598
293	130138	91185
294	130727	90844
295	131246	90453
296	131966	90199
297	132017	89488
298	132527	89090
299	133171	88781
300	133411	88202
301	133883	87778
302	134466	87425
303	135052	87073
304	135146	86404
305	135574	85952
306	136202	85625
307	136880	85327
308	137442	84956
309	137985	84571
310	138070	83907
311	138548	83484
312	139034	83065
313	139708	82757
314	140213	82347
315	140452	81782
316	140932	81358
317	140980	80687
318	141536	80307
319	142052	79904
320	142591	79513
321	143062	79084
322	143672	78730
323	144212	78337
324	144715	77923
325	145401	77607
326	145947	77213
327	146569	76859
328	147087	76449
329	147625	76049
